TxnDate,AccountNumber,AccountName,Debit,Credit,Currency
2023-01-27,4001,Revenue,0.0,1778.7,USD
2023-01-27,2200,Sales Tax Payable,0.0,146.74,USD
2023-01-27,5000,Cost of Goods Sold,1092.88,0.0,USD
2023-01-27,1200,Inventory,0.0,1092.88,USD
2023-01-27,2000,Accounts Payable,704.23,0.0,USD
2023-01-27,1010,Cash,0.0,704.23,USD
2023-01-30,1010,Cash,1778.96,0.0,USD
2023-01-30,4001,Revenue,0.0,1643.38,USD
2023-01-30,2200,Sales Tax Payable,0.0,135.58,USD
2023-01-30,5000,Cost of Goods Sold,871.05,0.0,USD
2023-01-30,1200,Inventory,0.0,871.05,USD
2023-01-30,1010,Cash,1417.09,0.0,USD
2023-01-30,4010,Service Revenue,0.0,1417.09,USD
2023-01-30,1200,Inventory,916.34,0.0,USD
2023-01-30,2000,Accounts Payable,0.0,916.34,USD
2023-01-31,1100,Accounts Receivable,2885.88,0.0,USD
2023-01-31,4001,Revenue,0.0,2665.94,USD
2023-01-31,2200,Sales Tax Payable,0.0,219.94,USD
2023-01-31,5000,Cost of Goods Sold,1645.58,0.0,USD
2023-01-31,1200,Inventory,0.0,1645.58,USD
2023-02-01,1100,Accounts Receivable,1959.63,0.0,USD
2023-02-01,4001,Revenue,0.0,1810.28,USD
2023-02-01,2200,Sales Tax Payable,0.0,149.35,USD
2023-02-01,5000,Cost of Goods Sold,946.47,0.0,USD
2023-02-01,1200,Inventory,0.0,946.47,USD
2023-02-01,1010,Cash,467.15,0.0,USD
2023-02-01,4010,Service Revenue,0.0,467.15,USD
2023-02-02,1200,Inventory,324.84,0.0,USD
2023-02-02,2000,Accounts Payable,0.0,324.84,USD
2023-02-03,1100,Accounts Receivable,2437.67,0.0,USD
2023-02-03,4001,Revenue,0.0,2251.89,USD
2023-02-03,2200,Sales Tax Payable,0.0,185.78,USD
2023-02-03,5000,Cost of Goods Sold,1421.51,0.0,USD
2023-02-03,1200,Inventory,0.0,1421.51,USD
2023-02-06,2000,Accounts Payable,1376.48,0.0,USD
2023-02-06,1010,Cash,0.0,1376.48,USD
2023-02-07,1010,Cash,982.65,0.0,USD
2023-02-07,4001,Revenue,0.0,907.76,USD
2023-02-07,2200,Sales Tax Payable,0.0,74.89,USD
2023-02-07,5000,Cost of Goods Sold,497.45,0.0,USD
2023-02-07,1200,Inventory,0.0,497.45,USD
2023-02-07,1010,Cash,1347.36,0.0,USD
2023-02-07,1100,Accounts Receivable,0.0,1347.36,USD
2023-02-08,1010,Cash,1036.05,0.0,USD
2023-02-08,4010,Service Revenue,0.0,1036.05,USD
2023-02-08,1010,Cash,1122.16,0.0,USD
2023-02-08,4001,Revenue,0.0,1036.64,USD
2023-02-08,2200,Sales Tax Payable,0.0,85.52,USD
2023-02-08,5000,Cost of Goods Sold,644.18,0.0,USD
2023-02-08,1200,Inventory,0.0,644.18,USD
2023-02-08,1010,Cash,1118.7,0.0,USD
2023-02-08,1100,Accounts Receivable,0.0,1118.7,USD
2023-02-09,1100,Accounts Receivable,627.19,0.0,USD
2023-02-09,4010,Service Revenue,0.0,627.19,USD
2023-02-09,1010,Cash,3140.86,0.0,USD
2023-02-09,4001,Revenue,0.0,2901.49,USD
2023-02-09,2200,Sales Tax Payable,0.0,239.37,USD
2023-02-09,5000,Cost of Goods Sold,1799.1,0.0,USD
2023-02-09,1200,Inventory,0.0,1799.1,USD
2023-02-09,1010,Cash,852.38,0.0,USD
2023-02-09,1100,Accounts Receivable,0.0,852.38,USD
2023-02-10,1010,Cash,2331.92,0.0,USD
2023-02-10,4001,Revenue,0.0,2154.2,USD
2023-02-10,2200,Sales Tax Payable,0.0,177.72,USD
2023-02-10,5000,Cost of Goods Sold,1261.86,0.0,USD
2023-02-10,1200,Inventory,0.0,1261.86,USD
2023-02-10,1010,Cash,1497.03,0.0,USD
2023-02-10,1100,Accounts Receivable,0.0,1497.03,USD
2023-02-10,6600,Marketing Expense,345.42,0.0,USD
2023-02-10,1010,Cash,0.0,345.42,USD
2023-02-13,6800,Software Subscriptions Expense,315.14,0.0,USD
2023-02-13,1010,Cash,0.0,315.14,USD
2023-02-14,1010,Cash,1123.84,0.0,USD
2023-02-14,4001,Revenue,0.0,1038.19,USD
2023-02-14,2200,Sales Tax Payable,0.0,85.65,USD
2023-02-14,5000,Cost of Goods Sold,559.94,0.0,USD
2023-02-14,1200,Inventory,0.0,559.94,USD
2023-02-14,1010,Cash,742.66,0.0,USD
2023-02-14,4010,Service Revenue,0.0,742.66,USD
2023-02-14,6500,Office Supplies Expense,159.28,0.0,USD
2023-02-14,1010,Cash,0.0,159.28,USD
2023-02-15,1010,Cash,1083.15,0.0,USD
2023-02-15,4001,Revenue,0.0,1000.6,USD
2023-02-15,2200,Sales Tax Payable,0.0,82.55,USD
2023-02-15,5000,Cost of Goods Sold,537.93,0.0,USD
2023-02-15,1200,Inventory,0.0,537.93,USD
2023-02-16,1010,Cash,3183.33,0.0,USD
2023-02-16,4001,Revenue,0.0,2940.72,USD
2023-02-16,2200,Sales Tax Payable,0.0,242.61,USD
2023-02-16,5000,Cost of Goods Sold,1736.44,0.0,USD
2023-02-16,1200,Inventory,0.0,1736.44,USD
2023-02-16,1010,Cash,2544.96,0.0,USD
2023-02-16,1100,Accounts Receivable,0.0,2544.96,USD
2023-02-16,2000,Accounts Payable,953.31,0.0,USD
2023-02-16,1010,Cash,0.0,953.31,USD
2023-02-17,1100,Accounts Receivable,2237.61,0.0,USD
2023-02-17,4001,Revenue,0.0,2067.08,USD
2023-02-17,2200,Sales Tax Payable,0.0,170.53,USD
2023-02-17,5000,Cost of Goods Sold,1084.75,0.0,USD
2023-02-17,1200,Inventory,0.0,1084.75,USD
2023-02-17,1100,Accounts Receivable,1647.33,0.0,USD
2023-02-17,4001,Revenue,0.0,1521.78,USD
2023-02-17,2200,Sales Tax Payable,0.0,125.55,USD
2023-02-17,5000,Cost of Goods Sold,842.31,0.0,USD
2023-02-17,1200,Inventory,0.0,842.31,USD
2023-02-17,1100,Accounts Receivable,596.77,0.0,USD
2023-02-17,4010,Service Revenue,0.0,596.77,USD
2023-02-17,1200,Inventory,993.01,0.0,USD
2023-02-17,2000,Accounts Payable,0.0,993.01,USD
2023-02-20,1010,Cash,1325.71,0.0,USD
2023-02-20,4001,Revenue,0.0,1224.67,USD
2023-02-20,2200,Sales Tax Payable,0.0,101.04,USD
2023-02-20,5000,Cost of Goods Sold,698.67,0.0,USD
2023-02-20,1200,Inventory,0.0,698.67,USD
2023-02-20,1100,Accounts Receivable,597.99,0.0,USD
2023-02-20,4010,Service Revenue,0.0,597.99,USD
2023-02-20,1010,Cash,1508.6,0.0,USD
2023-02-20,4001,Revenue,0.0,1393.63,USD
2023-02-20,2200,Sales Tax Payable,0.0,114.97,USD
2023-02-20,5000,Cost of Goods Sold,813.96,0.0,USD
2023-02-20,1200,Inventory,0.0,813.96,USD
2023-02-21,1100,Accounts Receivable,416.44,0.0,USD
2023-02-21,4010,Service Revenue,0.0,416.44,USD
2023-02-21,1010,Cash,741.68,0.0,USD
2023-02-21,1100,Accounts Receivable,0.0,741.68,USD
2023-02-22,1010,Cash,1812.62,0.0,USD
2023-02-22,4001,Revenue,0.0,1674.48,USD
2023-02-22,2200,Sales Tax Payable,0.0,138.14,USD
2023-02-22,5000,Cost of Goods Sold,942.94,0.0,USD
2023-02-22,1200,Inventory,0.0,942.94,USD
2023-02-22,1010,Cash,553.39,0.0,USD
2023-02-22,1100,Accounts Receivable,0.0,553.39,USD
2023-02-22,1200,Inventory,913.05,0.0,USD
2023-02-22,2000,Accounts Payable,0.0,913.05,USD
2023-02-22,2000,Accounts Payable,930.73,0.0,USD
2023-02-22,1010,Cash,0.0,930.73,USD
2023-02-22,6800,Software Subscriptions Expense,291.68,0.0,USD
2023-02-22,1010,Cash,0.0,291.68,USD
2023-02-23,1010,Cash,1000.97,0.0,USD
2023-02-23,4001,Revenue,0.0,924.68,USD
2023-02-23,2200,Sales Tax Payable,0.0,76.29,USD
2023-02-23,5000,Cost of Goods Sold,512.32,0.0,USD
2023-02-23,1200,Inventory,0.0,512.32,USD
2023-02-23,1200,Inventory,1902.8,0.0,USD
2023-02-23,2000,Accounts Payable,0.0,1902.8,USD
2023-02-24,1010,Cash,1452.23,0.0,USD
2023-02-24,4001,Revenue,0.0,1341.55,USD
2023-02-24,2200,Sales Tax Payable,0.0,110.68,USD
2023-02-24,5000,Cost of Goods Sold,801.46,0.0,USD
2023-02-24,1200,Inventory,0.0,801.46,USD
2023-02-27,1010,Cash,719.78,0.0,USD
2023-02-27,4001,Revenue,0.0,664.92,USD
2023-02-27,2200,Sales Tax Payable,0.0,54.86,USD
2023-02-27,5000,Cost of Goods Sold,398.95,0.0,USD
2023-02-27,1200,Inventory,0.0,398.95,USD
2023-02-27,1010,Cash,2039.99,0.0,USD
2023-02-27,4001,Revenue,0.0,1884.52,USD
2023-02-27,2200,Sales Tax Payable,0.0,155.47,USD
2023-02-27,5000,Cost of Goods Sold,1139.38,0.0,USD
2023-02-27,1200,Inventory,0.0,1139.38,USD
2023-02-28,1010,Cash,1390.92,0.0,USD
2023-02-28,4001,Revenue,0.0,1284.91,USD
2023-02-28,2200,Sales Tax Payable,0.0,106.01,USD
2023-02-28,5000,Cost of Goods Sold,759.2,0.0,USD
2023-02-28,1200,Inventory,0.0,759.2,USD
2023-02-28,1010,Cash,1073.81,0.0,USD
2023-02-28,4010,Service Revenue,0.0,1073.81,USD
2023-02-28,6500,Office Supplies Expense,165.85,0.0,USD
2023-02-28,1010,Cash,0.0,165.85,USD
2023-03-01,1100,Accounts Receivable,1796.55,0.0,USD
2023-03-01,4001,Revenue,0.0,1659.63,USD
2023-03-01,2200,Sales Tax Payable,0.0,136.92,USD
2023-03-01,5000,Cost of Goods Sold,1012.85,0.0,USD
2023-03-01,1200,Inventory,0.0,1012.85,USD
2023-03-01,1010,Cash,2391.81,0.0,USD
2023-03-01,4001,Revenue,0.0,2209.52,USD
2023-03-01,2200,Sales Tax Payable,0.0,182.29,USD
2023-03-01,5000,Cost of Goods Sold,1201.56,0.0,USD
2023-03-01,1200,Inventory,0.0,1201.56,USD
2023-03-01,1100,Accounts Receivable,895.49,0.0,USD
2023-03-01,4001,Revenue,0.0,827.24,USD
2023-03-01,2200,Sales Tax Payable,0.0,68.25,USD
2023-03-01,5000,Cost of Goods Sold,489.02,0.0,USD
2023-03-01,1200,Inventory,0.0,489.02,USD
2023-03-01,1010,Cash,701.55,0.0,USD
2023-03-01,1100,Accounts Receivable,0.0,701.55,USD
2023-03-02,2000,Accounts Payable,1038.37,0.0,USD
2023-03-02,1010,Cash,0.0,1038.37,USD
2023-03-03,1100,Accounts Receivable,2227.48,0.0,USD
2023-03-03,4001,Revenue,0.0,2057.72,USD
2023-03-03,2200,Sales Tax Payable,0.0,169.76,USD
2023-03-03,5000,Cost of Goods Sold,1099.12,0.0,USD
2023-03-03,1200,Inventory,0.0,1099.12,USD
2023-03-03,1200,Inventory,2056.15,0.0,USD
2023-03-03,2000,Accounts Payable,0.0,2056.15,USD
2023-03-06,1010,Cash,1075.34,0.0,USD
2023-03-06,4010,Service Revenue,0.0,1075.34,USD
2023-03-06,1010,Cash,2040.76,0.0,USD
2023-03-06,4001,Revenue,0.0,1885.23,USD
2023-03-06,2200,Sales Tax Payable,0.0,155.53,USD
2023-03-06,5000,Cost of Goods Sold,1015.95,0.0,USD
2023-03-06,1200,Inventory,0.0,1015.95,USD
2023-03-06,1010,Cash,751.75,0.0,USD
2023-03-06,1100,Accounts Receivable,0.0,751.75,USD
2023-03-07,1010,Cash,685.02,0.0,USD
2023-03-07,4001,Revenue,0.0,632.81,USD
2023-03-07,2200,Sales Tax Payable,0.0,52.21,USD
2023-03-07,5000,Cost of Goods Sold,368.0,0.0,USD
2023-03-07,1200,Inventory,0.0,368.0,USD
2023-03-07,1100,Accounts Receivable,1932.52,0.0,USD
2023-03-07,4001,Revenue,0.0,1785.24,USD
2023-03-07,2200,Sales Tax Payable,0.0,147.28,USD
2023-03-07,5000,Cost of Goods Sold,1062.12,0.0,USD
2023-03-07,1200,Inventory,0.0,1062.12,USD
2023-03-07,1200,Inventory,1754.92,0.0,USD
2023-03-07,1010,Cash,0.0,1754.92,USD
2023-03-08,1100,Accounts Receivable,1174.39,0.0,USD
2023-03-08,4001,Revenue,0.0,1084.89,USD
2023-03-08,2200,Sales Tax Payable,0.0,89.5,USD
2023-03-08,5000,Cost of Goods Sold,678.61,0.0,USD
2023-03-08,1200,Inventory,0.0,678.61,USD
2023-03-08,1200,Inventory,574.01,0.0,USD
2023-03-08,2000,Accounts Payable,0.0,574.01,USD
2023-03-09,1010,Cash,2324.34,0.0,USD
2023-03-09,4001,Revenue,0.0,2147.2,USD
2023-03-09,2200,Sales Tax Payable,0.0,177.14,USD
2023-03-09,5000,Cost of Goods Sold,1255.99,0.0,USD
2023-03-09,1200,Inventory,0.0,1255.99,USD
2023-03-09,1010,Cash,2225.14,0.0,USD
2023-03-09,4001,Revenue,0.0,2055.56,USD
2023-03-09,2200,Sales Tax Payable,0.0,169.58,USD
2023-03-09,5000,Cost of Goods Sold,1086.65,0.0,USD
2023-03-09,1200,Inventory,0.0,1086.65,USD
2023-03-10,1100,Accounts Receivable,771.98,0.0,USD
2023-03-10,4010,Service Revenue,0.0,771.98,USD
2023-03-10,1010,Cash,743.59,0.0,USD
2023-03-10,4010,Service Revenue,0.0,743.59,USD
2023-03-10,1010,Cash,1057.8,0.0,USD
2023-03-10,1100,Accounts Receivable,0.0,1057.8,USD
2023-03-10,1200,Inventory,1495.03,0.0,USD
2023-03-10,2000,Accounts Payable,0.0,1495.03,USD
2023-03-13,1100,Accounts Receivable,2935.01,0.0,USD
2023-03-13,4001,Revenue,0.0,2711.33,USD
2023-03-13,2200,Sales Tax Payable,0.0,223.68,USD
2023-03-13,5000,Cost of Goods Sold,1603.48,0.0,USD
2023-03-13,1200,Inventory,0.0,1603.48,USD
2023-03-13,1010,Cash,1024.88,0.0,USD
2023-03-13,4001,Revenue,0.0,946.77,USD
2023-03-13,2200,Sales Tax Payable,0.0,78.11,USD
2023-03-13,5000,Cost of Goods Sold,533.91,0.0,USD
2023-03-13,1200,Inventory,0.0,533.91,USD
2023-03-13,1010,Cash,2708.9,0.0,USD
2023-03-13,4001,Revenue,0.0,2502.45,USD
2023-03-13,2200,Sales Tax Payable,0.0,206.45,USD
2023-03-13,5000,Cost of Goods Sold,1560.72,0.0,USD
2023-03-13,1200,Inventory,0.0,1560.72,USD
2023-03-13,1200,Inventory,1814.42,0.0,USD
2023-03-13,2000,Accounts Payable,0.0,1814.42,USD
2023-03-14,1100,Accounts Receivable,1252.24,0.0,USD
2023-03-14,4001,Revenue,0.0,1156.8,USD
2023-03-14,2200,Sales Tax Payable,0.0,95.44,USD
2023-03-14,5000,Cost of Goods Sold,648.0,0.0,USD
2023-03-14,1200,Inventory,0.0,648.0,USD
2023-03-14,1010,Cash,778.87,0.0,USD
2023-03-14,4010,Service Revenue,0.0,778.87,USD
2023-03-14,1200,Inventory,1524.25,0.0,USD
2023-03-14,2000,Accounts Payable,0.0,1524.25,USD
2023-03-15,1010,Cash,1092.87,0.0,USD
2023-03-15,4010,Service Revenue,0.0,1092.87,USD
2023-03-15,1010,Cash,929.92,0.0,USD
2023-03-15,1100,Accounts Receivable,0.0,929.92,USD
2023-03-15,1200,Inventory,1574.2,0.0,USD
2023-03-15,2000,Accounts Payable,0.0,1574.2,USD
2023-03-16,1010,Cash,800.07,0.0,USD
2023-03-16,1100,Accounts Receivable,0.0,800.07,USD
2023-03-17,1010,Cash,1110.65,0.0,USD
2023-03-17,4001,Revenue,0.0,1026.0,USD
2023-03-17,2200,Sales Tax Payable,0.0,84.65,USD
2023-03-17,5000,Cost of Goods Sold,646.37,0.0,USD
2023-03-17,1200,Inventory,0.0,646.37,USD
2023-03-17,1010,Cash,828.47,0.0,USD
2023-03-17,4010,Service Revenue,0.0,828.47,USD
2023-03-17,1100,Accounts Receivable,2641.67,0.0,USD
2023-03-17,4001,Revenue,0.0,2440.34,USD
2023-03-17,2200,Sales Tax Payable,0.0,201.33,USD
2023-03-17,5000,Cost of Goods Sold,1422.11,0.0,USD
2023-03-17,1200,Inventory,0.0,1422.11,USD
2023-03-17,1010,Cash,699.82,0.0,USD
2023-03-17,1100,Accounts Receivable,0.0,699.82,USD
2023-03-17,1200,Inventory,1074.14,0.0,USD
2023-03-17,1010,Cash,0.0,1074.14,USD
2023-03-17,6600,Marketing Expense,273.76,0.0,USD
2023-03-17,1010,Cash,0.0,273.76,USD
2023-03-20,2000,Accounts Payable,956.85,0.0,USD
2023-03-20,1010,Cash,0.0,956.85,USD
2023-03-21,1010,Cash,819.89,0.0,USD
2023-03-21,4010,Service Revenue,0.0,819.89,USD
2023-03-21,1010,Cash,968.22,0.0,USD
2023-03-21,4001,Revenue,0.0,894.43,USD
2023-03-21,2200,Sales Tax Payable,0.0,73.79,USD
2023-03-21,5000,Cost of Goods Sold,479.2,0.0,USD
2023-03-21,1200,Inventory,0.0,479.2,USD
2023-03-21,1010,Cash,1971.49,0.0,USD
2023-03-21,4001,Revenue,0.0,1821.24,USD
2023-03-21,2200,Sales Tax Payable,0.0,150.25,USD
2023-03-21,5000,Cost of Goods Sold,1148.88,0.0,USD
2023-03-21,1200,Inventory,0.0,1148.88,USD
2023-03-21,6500,Office Supplies Expense,337.89,0.0,USD
2023-03-21,1010,Cash,0.0,337.89,USD
2023-03-22,1010,Cash,729.85,0.0,USD
2023-03-22,1100,Accounts Receivable,0.0,729.85,USD
2023-03-23,1010,Cash,762.46,0.0,USD
2023-03-23,4010,Service Revenue,0.0,762.46,USD
2023-03-23,1010,Cash,1147.87,0.0,USD
2023-03-23,4001,Revenue,0.0,1060.39,USD
2023-03-23,2200,Sales Tax Payable,0.0,87.48,USD
2023-03-23,5000,Cost of Goods Sold,619.83,0.0,USD
2023-03-23,1200,Inventory,0.0,619.83,USD
2023-03-23,1010,Cash,739.78,0.0,USD
2023-03-23,4001,Revenue,0.0,683.4,USD
2023-03-23,2200,Sales Tax Payable,0.0,56.38,USD
2023-03-23,5000,Cost of Goods Sold,422.89,0.0,USD
2023-03-23,1200,Inventory,0.0,422.89,USD
2023-03-23,1010,Cash,2663.12,0.0,USD
2023-03-23,1100,Accounts Receivable,0.0,2663.12,USD
2023-03-24,1010,Cash,1727.75,0.0,USD
2023-03-24,4001,Revenue,0.0,1596.07,USD
