TxnDate,AccountNumber,AccountName,Currency,Debit,Credit
2021-04-30,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-04-30,1200,Inventories,USD,760000000.0,0.0
2021-04-30,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-04-30,1350,Other Current Assets,USD,190000000.0,0.0
2021-04-30,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-04-30,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-04-30,2000,Accounts Payable,USD,0.0,880000000.0
2021-04-30,2100,Accrued Payroll,USD,0.0,190000000.0
2021-04-30,2150,Deferred Revenue,USD,0.0,290000000.0
2021-04-30,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-04-30,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-04-30,3000,Common Stock,USD,0.0,2000000000.0
2021-04-30,3100,Retained Earnings,USD,0.0,1159544000.0
2021-05-31,1000,Cash,USD,2094544000.0,0.0
2021-05-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-05-31,1200,Inventories,USD,760000000.0,0.0
2021-05-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-05-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-05-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-05-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-05-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-05-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-05-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-05-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-05-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-05-31,3000,Common Stock,USD,0.0,2000000000.0
2021-05-31,3100,Retained Earnings,USD,0.0,1159544000.0
2021-06-30,1000,Cash,USD,2094544000.0,0.0
2021-06-30,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-06-30,1200,Inventories,USD,760000000.0,0.0
2021-06-30,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-06-30,1350,Other Current Assets,USD,190000000.0,0.0
2021-06-30,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-06-30,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-06-30,2000,Accounts Payable,USD,0.0,880000000.0
2021-06-30,2100,Accrued Payroll,USD,0.0,190000000.0
2021-06-30,2150,Deferred Revenue,USD,0.0,290000000.0
2021-06-30,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-06-30,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-06-30,3000,Common Stock,USD,0.0,2000000000.0
2021-06-30,3100,Retained Earnings,USD,0.0,1159544000.0
2021-07-31,1000,Cash,USD,2094544000.0,0.0
2021-07-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-07-31,1200,Inventories,USD,760000000.0,0.0
2021-07-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-07-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-07-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-07-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-07-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-07-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-07-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-07-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-07-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-07-31,3000,Common Stock,USD,0.0,2000000000.0
2021-07-31,3100,Retained Earnings,USD,0.0,1159544000.0
2021-08-31,1000,Cash,USD,2094544000.0,0.0
2021-08-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-08-31,1200,Inventories,USD,760000000.0,0.0
2021-08-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-08-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-08-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-08-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-08-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-08-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-08-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-08-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-08-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-08-31,3000,Common Stock,USD,0.0,2000000000.0
2021-08-31,3100,Retained Earnings,USD,0.0,1159544000.0
2021-09-30,1000,Cash,USD,2094544000.0,0.0
2021-09-30,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-09-30,1200,Inventories,USD,760000000.0,0.0
2021-09-30,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-09-30,1350,Other Current Assets,USD,190000000.0,0.0
2021-09-30,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-09-30,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-09-30,2000,Accounts Payable,USD,0.0,880000000.0
2021-09-30,2100,Accrued Payroll,USD,0.0,190000000.0
2021-09-30,2150,Deferred Revenue,USD,0.0,290000000.0
2021-09-30,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-09-30,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-09-30,3000,Common Stock,USD,0.0,2000000000.0
2021-09-30,3100,Retained Earnings,USD,0.0,1159544000.0
2021-10-31,1000,Cash,USD,2094544000.0,0.0
2021-10-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-10-31,1200,Inventories,USD,760000000.0,0.0
2021-10-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-10-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-10-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-10-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-10-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-10-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-10-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-10-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-10-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-10-31,3000,Common Stock,USD,0.0,2000000000.0
2021-10-31,3100,Retained Earnings,USD,0.0,1159544000.0
2021-11-30,1000,Cash,USD,2094544000.0,0.0
2021-11-30,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-11-30,1200,Inventories,USD,760000000.0,0.0
2021-11-30,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-11-30,1350,Other Current Assets,USD,190000000.0,0.0
2021-11-30,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-11-30,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-11-30,2000,Accounts Payable,USD,0.0,880000000.0
2021-11-30,2100,Accrued Payroll,USD,0.0,190000000.0
2021-11-30,2150,Deferred Revenue,USD,0.0,290000000.0
2021-11-30,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-11-30,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-11-30,3000,Common Stock,USD,0.0,2000000000.0
2021-11-30,3100,Retained Earnings,USD,0.0,1159544000.0
2021-12-31,1000,Cash,USD,2094544000.0,0.0
2021-12-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-12-31,1200,Inventories,USD,760000000.0,0.0
2021-12-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-12-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-12-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-12-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-12-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-12-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-12-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-12-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-12-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-12-31,3000,Common Stock,USD,0.0,2000000000.0
2021-12-31,3100,Retained Earnings,USD,0.0,1159544000.0
2022-01-31,1000,Cash,USD,2192300200.0,0.0
2022-01-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-01-31,1200,Inventories,USD,775200000.0,0.0
2022-01-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-01-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-01-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-01-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-01-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-01-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-01-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-01-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-01-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-01-31,3000,Common Stock,USD,0.0,2000000000.0
2022-01-31,3100,Retained Earnings,USD,0.0,1335150200.0
2022-02-28,1000,Cash,USD,2192300200.0,0.0
2022-02-28,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-02-28,1200,Inventories,USD,775200000.0,0.0
2022-02-28,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-02-28,1350,Other Current Assets,USD,193800000.0,0.0
2022-02-28,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-02-28,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-02-28,2000,Accounts Payable,USD,0.0,893200000.0
2022-02-28,2100,Accrued Payroll,USD,0.0,193800000.0
2022-02-28,2150,Deferred Revenue,USD,0.0,298700000.0
2022-02-28,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-02-28,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-02-28,3000,Common Stock,USD,0.0,2000000000.0
2022-02-28,3100,Retained Earnings,USD,0.0,1335150200.0
2022-03-31,1000,Cash,USD,2192300200.0,0.0
2022-03-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-03-31,1200,Inventories,USD,775200000.0,0.0
2022-03-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-03-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-03-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-03-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-03-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-03-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-03-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-03-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-03-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-03-31,3000,Common Stock,USD,0.0,2000000000.0
2022-03-31,3100,Retained Earnings,USD,0.0,1335150200.0
2022-04-30,1000,Cash,USD,2192300200.0,0.0
2022-04-30,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-04-30,1200,Inventories,USD,775200000.0,0.0
2022-04-30,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-04-30,1350,Other Current Assets,USD,193800000.0,0.0
2022-04-30,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-04-30,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-04-30,2000,Accounts Payable,USD,0.0,893200000.0
2022-04-30,2100,Accrued Payroll,USD,0.0,193800000.0
2022-04-30,2150,Deferred Revenue,USD,0.0,298700000.0
2022-04-30,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-04-30,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-04-30,3000,Common Stock,USD,0.0,2000000000.0
2022-04-30,3100,Retained Earnings,USD,0.0,1335150200.0
2022-05-31,1000,Cash,USD,2192300200.0,0.0
2022-05-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-05-31,1200,Inventories,USD,775200000.0,0.0
2022-05-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-05-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-05-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-05-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-05-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-05-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-05-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-05-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-05-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-05-31,3000,Common Stock,USD,0.0,2000000000.0
2022-05-31,3100,Retained Earnings,USD,0.0,1335150200.0
2022-06-30,1000,Cash,USD,2192300200.0,0.0
2022-06-30,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-06-30,1200,Inventories,USD,775200000.0,0.0
2022-06-30,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-06-30,1350,Other Current Assets,USD,193800000.0,0.0
2022-06-30,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-06-30,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-06-30,2000,Accounts Payable,USD,0.0,893200000.0
2022-06-30,2100,Accrued Payroll,USD,0.0,193800000.0
2022-06-30,2150,Deferred Revenue,USD,0.0,298700000.0
2022-06-30,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-06-30,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-06-30,3000,Common Stock,USD,0.0,2000000000.0
2022-06-30,3100,Retained Earnings,USD,0.0,1335150200.0
2022-07-31,1000,Cash,USD,2192300200.0,0.0
2022-07-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-07-31,1200,Inventories,USD,775200000.0,0.0
2022-07-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-07-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-07-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-07-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-07-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-07-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-07-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-07-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-07-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-07-31,3000,Common Stock,USD,0.0,2000000000.0
2022-07-31,3100,Retained Earnings,USD,0.0,1335150200.0
2022-08-31,1000,Cash,USD,2192300200.0,0.0
2022-08-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-08-31,1200,Inventories,USD,775200000.0,0.0
2022-08-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-08-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-08-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-08-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-08-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-08-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-08-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-08-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-08-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-08-31,3000,Common Stock,USD,0.0,2000000000.0
2022-08-31,3100,Retained Earnings,USD,0.0,1335150200.0
2022-09-30,1000,Cash,USD,2192300200.0,0.0
2022-09-30,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-09-30,1200,Inventories,USD,775200000.0,0.0
2022-09-30,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-09-30,1350,Other Current Assets,USD,193800000.0,0.0
2022-09-30,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-09-30,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-09-30,2000,Accounts Payable,USD,0.0,893200000.0
2022-09-30,2100,Accrued Payroll,USD,0.0,193800000.0
2022-09-30,2150,Deferred Revenue,USD,0.0,298700000.0
2022-09-30,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-09-30,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-09-30,3000,Common Stock,USD,0.0,2000000000.0
2022-09-30,3100,Retained Earnings,USD,0.0,1335150200.0
2022-10-31,1000,Cash,USD,2192300200.0,0.0
2022-10-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-10-31,1200,Inventories,USD,775200000.0,0.0
2022-10-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-10-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-10-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-10-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-10-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-10-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-10-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-10-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-10-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-10-31,3000,Common Stock,USD,0.0,2000000000.0
2022-10-31,3100,Retained Earnings,USD,0.0,1335150200.0
2022-11-30,1000,Cash,USD,2192300200.0,0.0
2022-11-30,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-11-30,1200,Inventories,USD,775200000.0,0.0
2022-11-30,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-11-30,1350,Other Current Assets,USD,193800000.0,0.0
2022-11-30,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-11-30,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-11-30,2000,Accounts Payable,USD,0.0,893200000.0
2022-11-30,2100,Accrued Payroll,USD,0.0,193800000.0
2022-11-30,2150,Deferred Revenue,USD,0.0,298700000.0
2022-11-30,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-11-30,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-11-30,3000,Common Stock,USD,0.0,2000000000.0
2022-11-30,3100,Retained Earnings,USD,0.0,1335150200.0
2022-12-31,1000,Cash,USD,2192300200.0,0.0
2022-12-31,1100,Trade and Other Receivables,USD,1081500000.0,0.0
2022-12-31,1200,Inventories,USD,775200000.0,0.0
2022-12-31,1300,Prepaid Expenses,USD,95950000.0,0.0
2022-12-31,1350,Other Current Assets,USD,193800000.0,0.0
2022-12-31,1500,Property Plant and Equipment - Gross,USD,3180000000.0,0.0
2022-12-31,1590,Accumulated Depreciation,USD,0.0,1615600000.0
2022-12-31,2000,Accounts Payable,USD,0.0,893200000.0
2022-12-31,2100,Accrued Payroll,USD,0.0,193800000.0
2022-12-31,2150,Deferred Revenue,USD,0.0,298700000.0
2022-12-31,2300,Other Current Liabilities,USD,0.0,142800000.0
2022-12-31,2500,Long-Term Debt,USD,0.0,1039500000.0
2022-12-31,3000,Common Stock,USD,0.0,2000000000.0
2022-12-31,3100,Retained Earnings,USD,0.0,1335150200.0
2023-01-31,1000,Cash,USD,2311718600.0,0.0
2023-01-31,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-01-31,1200,Inventories,USD,790400000.0,0.0
2023-01-31,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-01-31,1350,Other Current Assets,USD,197600000.0,0.0
2023-01-31,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-01-31,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-01-31,2000,Accounts Payable,USD,0.0,906400000.0
2023-01-31,2100,Accrued Payroll,USD,0.0,197600000.0
2023-01-31,2150,Deferred Revenue,USD,0.0,307400000.0
2023-01-31,2300,Other Current Liabilities,USD,0.0,145600000.0
2023-01-31,2500,Long-Term Debt,USD,0.0,1029000000.0
2023-01-31,3000,Common Stock,USD,0.0,2000000000.0
2023-01-31,3100,Retained Earnings,USD,0.0,1526818600.0
2023-02-28,1000,Cash,USD,2311718600.0,0.0
2023-02-28,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-02-28,1200,Inventories,USD,790400000.0,0.0
2023-02-28,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-02-28,1350,Other Current Assets,USD,197600000.0,0.0
2023-02-28,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-02-28,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-02-28,2000,Accounts Payable,USD,0.0,906400000.0
2023-02-28,2100,Accrued Payroll,USD,0.0,197600000.0
2023-02-28,2150,Deferred Revenue,USD,0.0,307400000.0
2023-02-28,2300,Other Current Liabilities,USD,0.0,145600000.0
2023-02-28,2500,Long-Term Debt,USD,0.0,1029000000.0
2023-02-28,3000,Common Stock,USD,0.0,2000000000.0
2023-02-28,3100,Retained Earnings,USD,0.0,1526818600.0
2023-03-31,1000,Cash,USD,2311718600.0,0.0
2023-03-31,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-03-31,1200,Inventories,USD,790400000.0,0.0
2023-03-31,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-03-31,1350,Other Current Assets,USD,197600000.0,0.0
2023-03-31,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-03-31,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-03-31,2000,Accounts Payable,USD,0.0,906400000.0
2023-03-31,2100,Accrued Payroll,USD,0.0,197600000.0
2023-03-31,2150,Deferred Revenue,USD,0.0,307400000.0
2023-03-31,2300,Other Current Liabilities,USD,0.0,145600000.0
2023-03-31,2500,Long-Term Debt,USD,0.0,1029000000.0
2023-03-31,3000,Common Stock,USD,0.0,2000000000.0
2023-03-31,3100,Retained Earnings,USD,0.0,1526818600.0
2023-04-30,1000,Cash,USD,2311718600.0,0.0
2023-04-30,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-04-30,1200,Inventories,USD,790400000.0,0.0
2023-04-30,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-04-30,1350,Other Current Assets,USD,197600000.0,0.0
2023-04-30,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-04-30,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-04-30,2000,Accounts Payable,USD,0.0,906400000.0
2023-04-30,2100,Accrued Payroll,USD,0.0,197600000.0
2023-04-30,2150,Deferred Revenue,USD,0.0,307400000.0
2023-04-30,2300,Other Current Liabilities,USD,0.0,145600000.0
2023-04-30,2500,Long-Term Debt,USD,0.0,1029000000.0
2023-04-30,3000,Common Stock,USD,0.0,2000000000.0
2023-04-30,3100,Retained Earnings,USD,0.0,1526818600.0
2023-05-31,1000,Cash,USD,2311718600.0,0.0
2023-05-31,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-05-31,1200,Inventories,USD,790400000.0,0.0
2023-05-31,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-05-31,1350,Other Current Assets,USD,197600000.0,0.0
2023-05-31,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-05-31,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-05-31,2000,Accounts Payable,USD,0.0,906400000.0
2023-05-31,2100,Accrued Payroll,USD,0.0,197600000.0
2023-05-31,2150,Deferred Revenue,USD,0.0,307400000.0
2023-05-31,2300,Other Current Liabilities,USD,0.0,145600000.0
2023-05-31,2500,Long-Term Debt,USD,0.0,1029000000.0
2023-05-31,3000,Common Stock,USD,0.0,2000000000.0
2023-05-31,3100,Retained Earnings,USD,0.0,1526818600.0
2023-06-30,1000,Cash,USD,2311718600.0,0.0
2023-06-30,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-06-30,1200,Inventories,USD,790400000.0,0.0
2023-06-30,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-06-30,1350,Other Current Assets,USD,197600000.0,0.0
2023-06-30,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-06-30,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-06-30,2000,Accounts Payable,USD,0.0,906400000.0
2023-06-30,2100,Accrued Payroll,USD,0.0,197600000.0
2023-06-30,2150,Deferred Revenue,USD,0.0,307400000.0
2023-06-30,2300,Other Current Liabilities,USD,0.0,145600000.0
2023-06-30,2500,Long-Term Debt,USD,0.0,1029000000.0
2023-06-30,3000,Common Stock,USD,0.0,2000000000.0
2023-06-30,3100,Retained Earnings,USD,0.0,1526818600.0
2023-07-31,1000,Cash,USD,2311718600.0,0.0
2023-07-31,1100,Trade and Other Receivables,USD,1113000000.0,0.0
2023-07-31,1200,Inventories,USD,790400000.0,0.0
2023-07-31,1300,Prepaid Expenses,USD,96900000.0,0.0
2023-07-31,1350,Other Current Assets,USD,197600000.0,0.0
2023-07-31,1500,Property Plant and Equipment - Gross,USD,3510000000.0,0.0
2023-07-31,1590,Accumulated Depreciation,USD,0.0,1906800000.0
2023-07-31,2000,Accounts Payable,USD,0.0,906400000.0
2023-07-31,2100,Accrued Payroll,USD,0.0,197600000.0
2023-07-31,2150,Deferred Revenue,USD,0.0,307400000.0
2023-07-31,2300,Other Current Liabilities,USD,0.0,145600000.0
