TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency
2020-01-12,TXN-20200112-000008,1010,Cash,0.0,297.09,USD
2020-01-13,TXN-20200113-000008,1010,Cash,2116.68,0.0,USD
2020-01-13,TXN-20200113-000008,4001,Revenue,0.0,1955.36,USD
2020-01-13,TXN-20200113-000008,2200,Sales Tax Payable,0.0,161.32,USD
2020-01-13,TXN-20200113-000008,5000,Cost of Goods Sold,1061.63,0.0,USD
2020-01-13,TXN-20200113-000008,1200,Inventory,0.0,1061.63,USD
2020-01-13,TXN-20200113-000008,1010,Cash,742.49,0.0,USD
2020-01-13,TXN-20200113-000008,4010,Service Revenue,0.0,742.49,USD
2020-01-16,TXN-20200116-000009,1010,Cash,345.79,0.0,USD
2020-01-16,TXN-20200116-000009,4010,Service Revenue,0.0,345.79,USD
2020-01-16,TXN-20200116-000009,1010,Cash,644.12,0.0,USD
2020-01-16,TXN-20200116-000009,4001,Revenue,0.0,595.03,USD
2020-01-16,TXN-20200116-000009,2200,Sales Tax Payable,0.0,49.09,USD
2020-01-16,TXN-20200116-000009,5000,Cost of Goods Sold,354.39,0.0,USD
2020-01-16,TXN-20200116-000009,1200,Inventory,0.0,354.39,USD
2020-01-16,TXN-20200116-000009,1010,Cash,270.59,0.0,USD
2020-01-16,TXN-20200116-000009,1100,Accounts Receivable,0.0,270.59,USD
2020-01-18,TXN-20200118-000009,1010,Cash,1598.16,0.0,USD
2020-01-18,TXN-20200118-000010,1100,Accounts Receivable,0.0,1598.16,USD
2020-01-18,TXN-20200118-000010,2000,Accounts Payable,1247.37,0.0,USD
2020-01-18,TXN-20200118-000010,1010,Cash,0.0,1247.37,USD
2020-01-18,TXN-20200118-000010,6500,Office Supplies Expense,428.46,0.0,USD
2020-01-18,TXN-20200118-000010,1010,Cash,0.0,428.46,USD
2020-01-19,TXN-20200119-000010,1100,Accounts Receivable,3327.85,0.0,USD
2020-01-19,TXN-20200119-000010,4001,Revenue,0.0,3074.23,USD
2020-01-19,TXN-20200119-000010,2200,Sales Tax Payable,0.0,253.62,USD
2020-01-19,TXN-20200119-000010,5000,Cost of Goods Sold,1848.28,0.0,USD
2020-01-19,TXN-20200119-000010,1200,Inventory,0.0,1848.28,USD
2020-01-19,TXN-20200119-000011,1010,Cash,1366.08,0.0,USD
2020-01-19,TXN-20200119-000011,4001,Revenue,0.0,1261.97,USD
2020-01-19,TXN-20200119-000011,2200,Sales Tax Payable,0.0,104.11,USD
2020-01-19,TXN-20200119-000011,5000,Cost of Goods Sold,745.5,0.0,USD
2020-01-19,TXN-20200119-000011,1200,Inventory,0.0,745.5,USD
2020-01-19,TXN-20200119-000011,1010,Cash,695.94,0.0,USD
2020-01-19,TXN-20200119-000011,4010,Service Revenue,0.0,695.94,USD
2020-01-19,TXN-20200119-000011,1010,Cash,2151.97,0.0,USD
2020-01-19,TXN-20200119-000011,1100,Accounts Receivable,0.0,2151.97,USD
2020-01-19,TXN-20200119-000011,6600,Marketing Expense,323.91,0.0,USD
2020-01-19,TXN-20200119-000012,1010,Cash,0.0,323.91,USD
2020-01-20,TXN-20200120-000012,1010,Cash,773.04,0.0,USD
2020-01-20,TXN-20200120-000012,4010,Service Revenue,0.0,773.04,USD
2020-01-23,TXN-20200123-000012,1100,Accounts Receivable,1386.38,0.0,USD
2020-01-23,TXN-20200123-000012,4001,Revenue,0.0,1280.72,USD
2020-01-23,TXN-20200123-000012,2200,Sales Tax Payable,0.0,105.66,USD
2020-01-23,TXN-20200123-000012,5000,Cost of Goods Sold,688.87,0.0,USD
2020-01-23,TXN-20200123-000012,1200,Inventory,0.0,688.87,USD
2020-01-23,TXN-20200123-000012,1010,Cash,2792.65,0.0,USD
2020-01-23,TXN-20200123-000012,1100,Accounts Receivable,0.0,2792.65,USD
2020-01-23,TXN-20200123-000013,1200,Inventory,593.94,0.0,USD
2020-01-23,TXN-20200123-000013,2000,Accounts Payable,0.0,593.94,USD
2020-01-24,TXN-20200124-000013,1010,Cash,861.98,0.0,USD
2020-01-24,TXN-20200124-000013,4001,Revenue,0.0,796.29,USD
2020-01-24,TXN-20200124-000013,2200,Sales Tax Payable,0.0,65.69,USD
2020-01-24,TXN-20200124-000013,5000,Cost of Goods Sold,430.95,0.0,USD
2020-01-24,TXN-20200124-000013,1200,Inventory,0.0,430.95,USD
2020-01-25,TXN-20200125-000013,1010,Cash,2844.69,0.0,USD
2020-01-25,TXN-20200125-000013,4001,Revenue,0.0,2627.89,USD
2020-01-25,TXN-20200125-000013,2200,Sales Tax Payable,0.0,216.8,USD
2020-01-25,TXN-20200125-000014,5000,Cost of Goods Sold,1614.53,0.0,USD
2020-01-25,TXN-20200125-000014,1200,Inventory,0.0,1614.53,USD
2020-01-25,TXN-20200125-000014,1200,Inventory,1037.48,0.0,USD
2020-01-25,TXN-20200125-000014,1010,Cash,0.0,1037.48,USD
2020-01-26,TXN-20200126-000014,1010,Cash,1722.72,0.0,USD
2020-01-26,TXN-20200126-000014,4010,Service Revenue,0.0,1722.72,USD
2020-01-26,TXN-20200126-000014,1200,Inventory,1078.14,0.0,USD
2020-01-26,TXN-20200126-000014,2000,Accounts Payable,0.0,1078.14,USD
2020-01-26,TXN-20200126-000014,2000,Accounts Payable,1338.34,0.0,USD
2020-01-26,TXN-20200126-000014,1010,Cash,0.0,1338.34,USD
2020-01-26,TXN-20200126-000015,6500,Office Supplies Expense,470.19,0.0,USD
2020-01-26,TXN-20200126-000015,1010,Cash,0.0,470.19,USD
2020-01-27,TXN-20200127-000015,1100,Accounts Receivable,2018.35,0.0,USD
2020-01-27,TXN-20200127-000015,4001,Revenue,0.0,1864.53,USD
2020-01-27,TXN-20200127-000015,2200,Sales Tax Payable,0.0,153.82,USD
2020-01-27,TXN-20200127-000015,5000,Cost of Goods Sold,982.08,0.0,USD
2020-01-27,TXN-20200127-000015,1200,Inventory,0.0,982.08,USD
2020-01-27,TXN-20200127-000015,1100,Accounts Receivable,1224.85,0.0,USD
2020-01-27,TXN-20200127-000015,4001,Revenue,0.0,1131.5,USD
2020-01-27,TXN-20200127-000015,2200,Sales Tax Payable,0.0,93.35,USD
2020-01-27,TXN-20200127-000016,5000,Cost of Goods Sold,653.09,0.0,USD
2020-01-27,TXN-20200127-000016,1200,Inventory,0.0,653.09,USD
2020-01-27,TXN-20200127-000016,1010,Cash,1925.44,0.0,USD
2020-01-27,TXN-20200127-000016,4001,Revenue,0.0,1778.7,USD
2020-01-27,TXN-20200127-000016,2200,Sales Tax Payable,0.0,146.74,USD
2020-01-27,TXN-20200127-000016,5000,Cost of Goods Sold,1092.88,0.0,USD
2020-01-27,TXN-20200127-000016,1200,Inventory,0.0,1092.88,USD
2020-01-27,TXN-20200127-000016,2000,Accounts Payable,704.23,0.0,USD
2020-01-27,TXN-20200127-000016,1010,Cash,0.0,704.23,USD
2020-01-30,TXN-20200130-000016,1010,Cash,1778.96,0.0,USD
2020-01-30,TXN-20200130-000017,4001,Revenue,0.0,1643.38,USD
2020-01-30,TXN-20200130-000017,2200,Sales Tax Payable,0.0,135.58,USD
2020-01-30,TXN-20200130-000017,5000,Cost of Goods Sold,871.05,0.0,USD
2020-01-30,TXN-20200130-000017,1200,Inventory,0.0,871.05,USD
2020-01-30,TXN-20200130-000017,1010,Cash,1417.09,0.0,USD
2020-01-30,TXN-20200130-000017,4010,Service Revenue,0.0,1417.09,USD
2020-01-30,TXN-20200130-000017,1200,Inventory,916.34,0.0,USD
2020-01-30,TXN-20200130-000017,2000,Accounts Payable,0.0,916.34,USD
2020-01-31,TXN-20200131-000017,1100,Accounts Receivable,2885.88,0.0,USD
2020-01-31,TXN-20200131-000017,4001,Revenue,0.0,2665.94,USD
2020-01-31,TXN-20200131-000018,2200,Sales Tax Payable,0.0,219.94,USD
2020-01-31,TXN-20200131-000018,5000,Cost of Goods Sold,1645.58,0.0,USD
2020-01-31,TXN-20200131-000018,1200,Inventory,0.0,1645.58,USD
2020-02-01,TXN-20200201-000018,1100,Accounts Receivable,1959.63,0.0,USD
2020-02-01,TXN-20200201-000018,4001,Revenue,0.0,1810.28,USD
2020-02-01,TXN-20200201-000018,2200,Sales Tax Payable,0.0,149.35,USD
2020-02-01,TXN-20200201-000018,5000,Cost of Goods Sold,946.47,0.0,USD
2020-02-01,TXN-20200201-000018,1200,Inventory,0.0,946.47,USD
2020-02-01,TXN-20200201-000018,1010,Cash,467.15,0.0,USD
2020-02-01,TXN-20200201-000018,4010,Service Revenue,0.0,467.15,USD
2020-02-02,TXN-20200202-000019,1200,Inventory,324.84,0.0,USD
2020-02-02,TXN-20200202-000019,2000,Accounts Payable,0.0,324.84,USD
2020-02-03,TXN-20200203-000019,1100,Accounts Receivable,2437.67,0.0,USD
2020-02-03,TXN-20200203-000019,4001,Revenue,0.0,2251.89,USD
2020-02-03,TXN-20200203-000019,2200,Sales Tax Payable,0.0,185.78,USD
2020-02-03,TXN-20200203-000019,5000,Cost of Goods Sold,1421.51,0.0,USD
2020-02-03,TXN-20200203-000019,1200,Inventory,0.0,1421.51,USD
2020-02-06,TXN-20200206-000019,2000,Accounts Payable,1376.48,0.0,USD
2020-02-06,TXN-20200206-000019,1010,Cash,0.0,1376.48,USD
2020-02-07,TXN-20200207-000019,1010,Cash,982.65,0.0,USD
2020-02-07,TXN-20200207-000020,4001,Revenue,0.0,907.76,USD
2020-02-07,TXN-20200207-000020,2200,Sales Tax Payable,0.0,74.89,USD
2020-02-07,TXN-20200207-000020,5000,Cost of Goods Sold,497.45,0.0,USD
2020-02-07,TXN-20200207-000020,1200,Inventory,0.0,497.45,USD
2020-02-07,TXN-20200207-000020,1010,Cash,1347.36,0.0,USD
2020-02-07,TXN-20200207-000020,1100,Accounts Receivable,0.0,1347.36,USD
2020-02-08,TXN-20200208-000020,1010,Cash,1036.05,0.0,USD
2020-02-08,TXN-20200208-000020,4010,Service Revenue,0.0,1036.05,USD
2020-02-08,TXN-20200208-000020,1010,Cash,1122.16,0.0,USD
2020-02-08,TXN-20200208-000020,4001,Revenue,0.0,1036.64,USD
2020-02-08,TXN-20200208-000021,2200,Sales Tax Payable,0.0,85.52,USD
2020-02-08,TXN-20200208-000021,5000,Cost of Goods Sold,644.18,0.0,USD
2020-02-08,TXN-20200208-000021,1200,Inventory,0.0,644.18,USD
2020-02-08,TXN-20200208-000021,1010,Cash,1118.7,0.0,USD
2020-02-08,TXN-20200208-000021,1100,Accounts Receivable,0.0,1118.7,USD
2020-02-09,TXN-20200209-000021,1100,Accounts Receivable,627.19,0.0,USD
2020-02-09,TXN-20200209-000021,4010,Service Revenue,0.0,627.19,USD
2020-02-09,TXN-20200209-000021,1010,Cash,3140.86,0.0,USD
2020-02-09,TXN-20200209-000021,4001,Revenue,0.0,2901.49,USD
2020-02-09,TXN-20200209-000021,2200,Sales Tax Payable,0.0,239.37,USD
2020-02-09,TXN-20200209-000022,5000,Cost of Goods Sold,1799.1,0.0,USD
2020-02-09,TXN-20200209-000022,1200,Inventory,0.0,1799.1,USD
2020-02-09,TXN-20200209-000022,1010,Cash,852.38,0.0,USD
2020-02-09,TXN-20200209-000022,1100,Accounts Receivable,0.0,852.38,USD
2020-02-10,TXN-20200210-000022,1010,Cash,2331.92,0.0,USD
2020-02-10,TXN-20200210-000022,4001,Revenue,0.0,2154.2,USD
2020-02-10,TXN-20200210-000022,2200,Sales Tax Payable,0.0,177.72,USD
2020-02-10,TXN-20200210-000022,5000,Cost of Goods Sold,1261.86,0.0,USD
2020-02-10,TXN-20200210-000022,1200,Inventory,0.0,1261.86,USD
2020-02-10,TXN-20200210-000022,1010,Cash,1497.03,0.0,USD
2020-02-10,TXN-20200210-000023,1100,Accounts Receivable,0.0,1497.03,USD
2020-02-10,TXN-20200210-000023,6600,Marketing Expense,345.42,0.0,USD
2020-02-10,TXN-20200210-000023,1010,Cash,0.0,345.42,USD
2020-02-13,TXN-20200213-000023,6800,Software Subscriptions Expense,315.14,0.0,USD
2020-02-13,TXN-20200213-000023,1010,Cash,0.0,315.14,USD
2020-02-14,TXN-20200214-000023,1010,Cash,1123.84,0.0,USD
2020-02-14,TXN-20200214-000023,4001,Revenue,0.0,1038.19,USD
2020-02-14,TXN-20200214-000023,2200,Sales Tax Payable,0.0,85.65,USD
2020-02-14,TXN-20200214-000023,5000,Cost of Goods Sold,559.94,0.0,USD
2020-02-14,TXN-20200214-000023,1200,Inventory,0.0,559.94,USD
2020-02-14,TXN-20200214-000024,1010,Cash,742.66,0.0,USD
2020-02-14,TXN-20200214-000024,4010,Service Revenue,0.0,742.66,USD
2020-02-14,TXN-20200214-000024,6500,Office Supplies Expense,159.28,0.0,USD
2020-02-14,TXN-20200214-000024,1010,Cash,0.0,159.28,USD
2020-02-15,TXN-20200215-000024,1010,Cash,1083.15,0.0,USD
2020-02-15,TXN-20200215-000024,4001,Revenue,0.0,1000.6,USD
2020-02-15,TXN-20200215-000024,2200,Sales Tax Payable,0.0,82.55,USD
2020-02-15,TXN-20200215-000024,5000,Cost of Goods Sold,537.93,0.0,USD
2020-02-15,TXN-20200215-000024,1200,Inventory,0.0,537.93,USD
2020-02-16,TXN-20200216-000024,1010,Cash,3183.33,0.0,USD
2020-02-16,TXN-20200216-000025,4001,Revenue,0.0,2940.72,USD
2020-02-16,TXN-20200216-000025,2200,Sales Tax Payable,0.0,242.61,USD
2020-02-16,TXN-20200216-000025,5000,Cost of Goods Sold,1736.44,0.0,USD
2020-02-16,TXN-20200216-000025,1200,Inventory,0.0,1736.44,USD
2020-02-16,TXN-20200216-000025,1010,Cash,2544.96,0.0,USD
2020-02-16,TXN-20200216-000025,1100,Accounts Receivable,0.0,2544.96,USD
2020-02-16,TXN-20200216-000025,2000,Accounts Payable,953.31,0.0,USD
2020-02-16,TXN-20200216-000025,1010,Cash,0.0,953.31,USD
2020-02-17,TXN-20200217-000025,1100,Accounts Receivable,2237.61,0.0,USD
2020-02-17,TXN-20200217-000025,4001,Revenue,0.0,2067.08,USD
2020-02-17,TXN-20200217-000026,2200,Sales Tax Payable,0.0,170.53,USD
2020-02-17,TXN-20200217-000026,5000,Cost of Goods Sold,1084.75,0.0,USD
2020-02-17,TXN-20200217-000026,1200,Inventory,0.0,1084.75,USD
2020-02-17,TXN-20200217-000026,1100,Accounts Receivable,1647.33,0.0,USD
2020-02-17,TXN-20200217-000026,4001,Revenue,0.0,1521.78,USD
2020-02-17,TXN-20200217-000026,2200,Sales Tax Payable,0.0,125.55,USD
2020-02-17,TXN-20200217-000026,5000,Cost of Goods Sold,842.31,0.0,USD
2020-02-17,TXN-20200217-000026,1200,Inventory,0.0,842.31,USD
2020-02-17,TXN-20200217-000026,1100,Accounts Receivable,596.77,0.0,USD
2020-02-17,TXN-20200217-000026,4010,Service Revenue,0.0,596.77,USD
2020-02-17,TXN-20200217-000027,1200,Inventory,993.01,0.0,USD
2020-02-17,TXN-20200217-000027,2000,Accounts Payable,0.0,993.01,USD
2020-02-20,TXN-20200220-000027,1010,Cash,1325.71,0.0,USD
2020-02-20,TXN-20200220-000027,4001,Revenue,0.0,1224.67,USD
2020-02-20,TXN-20200220-000027,2200,Sales Tax Payable,0.0,101.04,USD
2020-02-20,TXN-20200220-000027,5000,Cost of Goods Sold,698.67,0.0,USD
2020-02-20,TXN-20200220-000027,1200,Inventory,0.0,698.67,USD
2020-02-20,TXN-20200220-000027,1100,Accounts Receivable,597.99,0.0,USD
2020-02-20,TXN-20200220-000027,4010,Service Revenue,0.0,597.99,USD
2020-02-20,TXN-20200220-000027,1010,Cash,1508.6,0.0,USD
2020-02-20,TXN-20200220-000028,4001,Revenue,0.0,1393.63,USD
2020-02-20,TXN-20200220-000028,2200,Sales Tax Payable,0.0,114.97,USD
2020-02-20,TXN-20200220-000028,5000,Cost of Goods Sold,813.96,0.0,USD
2020-02-20,TXN-20200220-000028,1200,Inventory,0.0,813.96,USD
2020-02-21,TXN-20200221-000028,1100,Accounts Receivable,416.44,0.0,USD
2020-02-21,TXN-20200221-000028,4010,Service Revenue,0.0,416.44,USD
2020-02-21,TXN-20200221-000028,1010,Cash,741.68,0.0,USD
2020-02-21,TXN-20200221-000028,1100,Accounts Receivable,0.0,741.68,USD
2020-02-22,TXN-20200222-000028,1010,Cash,1812.62,0.0,USD
2020-02-22,TXN-20200222-000028,4001,Revenue,0.0,1674.48,USD
2020-02-22,TXN-20200222-000029,2200,Sales Tax Payable,0.0,138.14,USD
2020-02-22,TXN-20200222-000029,5000,Cost of Goods Sold,942.94,0.0,USD
2020-02-22,TXN-20200222-000029,1200,Inventory,0.0,942.94,USD
2020-02-22,TXN-20200222-000029,1010,Cash,553.39,0.0,USD
2020-02-22,TXN-20200222-000029,1100,Accounts Receivable,0.0,553.39,USD
2020-02-22,TXN-20200222-000029,1200,Inventory,913.05,0.0,USD
2020-02-22,TXN-20200222-000029,2000,Accounts Payable,0.0,913.05,USD
2020-02-22,TXN-20200222-000029,2000,Accounts Payable,930.73,0.0,USD
2020-02-22,TXN-20200222-000029,1010,Cash,0.0,930.73,USD
2020-02-22,TXN-20200222-000029,6800,Software Subscriptions Expense,291.68,0.0,USD
2020-02-22,TXN-20200222-000030,1010,Cash,0.0,291.68,USD
2020-02-23,TXN-20200223-000030,1010,Cash,1000.97,0.0,USD
2020-02-23,TXN-20200223-000030,4001,Revenue,0.0,924.68,USD
2020-02-23,TXN-20200223-000030,2200,Sales Tax Payable,0.0,76.29,USD
2020-02-23,TXN-20200223-000030,5000,Cost of Goods Sold,512.32,0.0,USD
2020-02-23,TXN-20200223-000030,1200,Inventory,0.0,512.32,USD
2020-02-23,TXN-20200223-000030,1200,Inventory,1902.8,0.0,USD
2020-02-23,TXN-20200223-000030,2000,Accounts Payable,0.0,1902.8,USD
2020-02-24,TXN-20200224-000030,1010,Cash,1452.23,0.0,USD
2020-02-24,TXN-20200224-000030,4001,Revenue,0.0,1341.55,USD
2020-02-24,TXN-20200224-000031,2200,Sales Tax Payable,0.0,110.68,USD
2020-02-24,TXN-20200224-000031,5000,Cost of Goods Sold,801.46,0.0,USD
2020-02-24,TXN-20200224-000031,1200,Inventory,0.0,801.46,USD
2020-02-27,TXN-20200227-000031,1010,Cash,719.78,0.0,USD
2020-02-27,TXN-20200227-000031,4001,Revenue,0.0,664.92,USD
2020-02-27,TXN-20200227-000031,2200,Sales Tax Payable,0.0,54.86,USD
2020-02-27,TXN-20200227-000031,5000,Cost of Goods Sold,398.95,0.0,USD
2020-02-27,TXN-20200227-000031,1200,Inventory,0.0,398.95,USD
2020-02-27,TXN-20200227-000031,1010,Cash,2039.99,0.0,USD
2020-02-27,TXN-20200227-000031,4001,Revenue,0.0,1884.52,USD
2020-02-27,TXN-20200227-000032,2200,Sales Tax Payable,0.0,155.47,USD
2020-02-27,TXN-20200227-000032,5000,Cost of Goods Sold,1139.38,0.0,USD
2020-02-27,TXN-20200227-000032,1200,Inventory,0.0,1139.38,USD
2020-02-28,TXN-20200228-000032,1010,Cash,1390.92,0.0,USD
2020-02-28,TXN-20200228-000032,4001,Revenue,0.0,1284.91,USD
2020-02-28,TXN-20200228-000032,2200,Sales Tax Payable,0.0,106.01,USD
2020-02-28,TXN-20200228-000032,5000,Cost of Goods Sold,759.2,0.0,USD
2020-02-28,TXN-20200228-000032,1200,Inventory,0.0,759.2,USD
2020-02-28,TXN-20200228-000032,1010,Cash,1073.81,0.0,USD
2020-02-28,TXN-20200228-000032,4010,Service Revenue,0.0,1073.81,USD
2020-02-28,TXN-20200228-000033,6500,Office Supplies Expense,165.85,0.0,USD
2020-02-28,TXN-20200228-000033,1010,Cash,0.0,165.85,USD
2020-03-01,TXN-20200301-000033,1100,Accounts Receivable,1796.55,0.0,USD
2020-03-01,TXN-20200301-000033,4001,Revenue,0.0,1659.63,USD
2020-03-01,TXN-20200301-000033,2200,Sales Tax Payable,0.0,136.92,USD
2020-03-01,TXN-20200301-000033,5000,Cost of Goods Sold,1012.85,0.0,USD
2020-03-01,TXN-20200301-000033,1200,Inventory,0.0,1012.85,USD
2020-03-01,TXN-20200301-000033,1010,Cash,2391.81,0.0,USD
2020-03-01,TXN-20200301-000033,4001,Revenue,0.0,2209.52,USD
2020-03-01,TXN-20200301-000033,2200,Sales Tax Payable,0.0,182.29,USD
2020-03-01,TXN-20200301-000034,5000,Cost of Goods Sold,1201.56,0.0,USD
2020-03-01,TXN-20200301-000034,1200,Inventory,0.0,1201.56,USD
2020-03-01,TXN-20200301-000034,1100,Accounts Receivable,895.49,0.0,USD
2020-03-01,TXN-20200301-000034,4001,Revenue,0.0,827.24,USD
2020-03-01,TXN-20200301-000034,2200,Sales Tax Payable,0.0,68.25,USD
2020-03-01,TXN-20200301-000034,5000,Cost of Goods Sold,489.02,0.0,USD
2020-03-01,TXN-20200301-000034,1200,Inventory,0.0,489.02,USD
2020-03-01,TXN-20200301-000034,1010,Cash,701.55,0.0,USD
2020-03-01,TXN-20200301-000034,1100,Accounts Receivable,0.0,701.55,USD
2020-03-02,TXN-20200302-000034,2000,Accounts Payable,1038.37,0.0,USD
2020-03-02,TXN-20200302-000035,1010,Cash,0.0,1038.37,USD
2020-03-03,TXN-20200303-000035,1100,Accounts Receivable,2227.48,0.0,USD
